Time ,Device ,Event Type ,Elapse Time ,Errors,Comment
22/12/2010 17:30:48,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:47,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:46,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:45,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:45,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:33,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:33,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:32,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:31,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:27,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:27,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:16,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:15,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:14,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:13,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:12,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:11,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:11,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:00,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:59,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:58,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:57,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:56,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:55,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:43,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:42,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:41,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:40,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:39,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:39,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:24,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:23,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:22,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:11,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:10,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:09,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:08,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:07,Proxy Or Inband,HTTP Log In
22/12/2010 17:29:05,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:53,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:52,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:51,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:50,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:49,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:48,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:47,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:34,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:33,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:32,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:31,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:29,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:17,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:16,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:15,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:13,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:12,Proxy Or Inband,HTTP Log In
22/12/2010 17:28:11,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:59,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:58,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:58,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:56,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:55,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:55,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:43,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:42,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:41,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:40,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:39,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:38,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:38,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:25,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:24,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:23,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:22,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:21,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:20,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:20,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:09,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:08,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:07,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:06,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:05,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:04,Proxy Or Inband,HTTP Log In
22/12/2010 17:27:04,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:51,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:50,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:49,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:48,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:47,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:46,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:46,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:33,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:32,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:32,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:31,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:29,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:15,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:15,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:13,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:13,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:12,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:01,Proxy Or Inband,HTTP Log In
22/12/2010 17:26:00,Proxy Or Inband,HTTP Log In
22/12/2010 17:25:59,Proxy Or Inband,HTTP Log In
22/12/2010 17:25:58,Proxy Or Inband,HTTP Log In
22/12/2010 17:25:57,Proxy Or Inband,HTTP Log In
22/12/2010 17:25:56,Proxy Or Inband,HTTP Log In
,,,,,"Too many ""Proxy Or Inband - HTTP Log In"" so everything between these two is lost"
22/12/2010 14:51:00,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:58,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:57,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:57,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:57,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:57,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:56,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:56,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:56,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:55,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:55,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:55,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:55,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:54,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:54,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:54,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:52,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:52,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:50,Proxy Or Inband,HTTP Log In
22/12/2010 14:50:49,Proxy Or Inband,HTTP Log In
22/12/2010 14:48:57,RAID1,Start Rebuilding
22/12/2010 14:48:53,Raid Set OS,Rebuild RaidSet
22/12/2010 14:48:53,Enc#3 000,Device Inserted
22/12/2010 14:45:14,Enc#3 000,Device Removed
22/12/2010 14:45:14,Raid Set OS,RaidSet Degraded
22/12/2010 14:45:12,RAID1,Volume Degraded,,,Second 500GB drive from the OS was replaced by Eddie by a new received 500 GB
22/12/2010 14:39:22,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:21,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:20,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:19,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:18,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:11,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:10,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:10,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:09,Proxy Or Inband,HTTP Log In
22/12/2010 14:39:09,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:56,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:55,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:55,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:54,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:53,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:46,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:45,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:45,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:44,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:44,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:43,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:42,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:41,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:39,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:38,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:38,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:38,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:37,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:37,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:37,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:36,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:35,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:33,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:33,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:46,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:46,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:45,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:45,Proxy Or Inband,HTTP Log In
22/12/2010 14:38:42,Proxy Or Inband,HTTP Log In
22/12/2010 13:46:10,Enc#3 003,Time Out Error
21/12/2010 11:36:09,Proxy Or Inband,HTTP Log In
21/12/2010 11:36:09,Proxy Or Inband,HTTP Log In
21/12/2010 11:36:08,Proxy Or Inband,HTTP Log In
21/12/2010 11:36:08,Proxy Or Inband,HTTP Log In
21/12/2010 11:36:07,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:52,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:51,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:51,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:51,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:50,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:50,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:48,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:47,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:46,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:45,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:45,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:44,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:44,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:44,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:44,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:42,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:41,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:41,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:40,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:40,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:38,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:38,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:38,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:37,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:37,Proxy Or Inband,HTTP Log In
21/12/2010 11:35:36,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:35,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:34,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:33,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:33,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:33,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:31,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:30,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:29,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:16,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:15,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:14,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:13,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:12,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:12,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:12,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:11,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:11,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:11,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:10,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:05,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:05,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:05,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:04,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:04,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:04,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:03,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:13,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:13,Proxy Or Inband,HTTP Log In
21/12/2010 10:47:12,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:20,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:19,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:18,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:18,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:17,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:17,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:14,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:13,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:08,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:07,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:07,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:06,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:06,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:06,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:05,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:05,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:04,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:02,Proxy Or Inband,HTTP Log In
20/12/2010 16:17:00,Proxy Or Inband,HTTP Log In
20/12/2010 16:16:59,Proxy Or Inband,HTTP Log In
20/12/2010 16:16:58,Proxy Or Inband,HTTP Log In
20/12/2010 16:16:58,Proxy Or Inband,HTTP Log In
20/12/2010 16:16:58,Proxy Or Inband,HTTP Log In
20/12/2010 16:16:57,Proxy Or Inband,HTTP Log In
20/12/2010 16:16:56,Proxy Or Inband,HTTP Log In
20/12/2010 15:49:42,Proxy Or Inband,HTTP Log In
20/12/2010 13:17:08,Proxy Or Inband,HTTP Log In
20/12/2010 13:13:13,Proxy Or Inband,HTTP Log In
20/12/2010 13:13:07,Proxy Or Inband,HTTP Log In
20/12/2010 13:13:06,Proxy Or Inband,HTTP Log In
20/12/2010 13:13:05,Proxy Or Inband,HTTP Log In
20/12/2010 13:13:03,Proxy Or Inband,HTTP Log In
20/12/2010 13:13:02,Proxy Or Inband,HTTP Log In
20/12/2010 13:11:35,Proxy Or Inband,HTTP Log In
20/12/2010 13:11:34,Proxy Or Inband,HTTP Log In
20/12/2010 13:11:33,Proxy Or Inband,HTTP Log In
20/12/2010 13:11:32,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:29,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:28,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:27,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:26,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:25,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:24,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:22,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:21,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:20,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:19,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:19,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:18,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:18,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:17,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:17,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:16,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:16,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:16,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:16,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:15,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:15,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:15,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:15,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:15,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:14,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:14,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:13,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:13,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:13,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:11,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:11,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:10,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:09,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:08,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:08,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:07,Proxy Or Inband,HTTP Log In
20/12/2010 13:10:06,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:40,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:40,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:39,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:39,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:39,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:38,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:38,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:38,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:34,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:32,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:32,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:32,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:30,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:30,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:30,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:28,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:28,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:27,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:25,Proxy Or Inband,HTTP Log In
20/12/2010 13:08:24,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:37,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:36,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:35,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:35,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:33,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:33,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:33,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:32,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:32,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:32,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:32,Proxy Or Inband,HTTP Log In
20/12/2010 12:55:32,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:32,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:31,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:30,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:29,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:28,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:28,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:27,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:26,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:23,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:22,Proxy Or Inband,HTTP Log In
20/12/2010 19:55:21,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:43,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:42,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:41,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:40,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:39,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:39,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:36,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:35,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:34,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:33,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:32,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:31,Proxy Or Inband,HTTP Log In
20/12/2010 19:47:29,Proxy Or Inband,HTTP Log In
,,,,,"Too many ""Proxy Or Inband - HTTP Log In"" so everything between these two is lost"
18/12/2010 00:15:17,Enc#3 000,Reading Error
18/12/2010 00:15:11,Enc#3 000,Reading Error
18/12/2010 00:15:05,Enc#3 000,Reading Error
18/12/2010 00:14:59,Enc#3 000,Reading Error
18/12/2010 00:14:53,Enc#3 000,Reading Error
18/12/2010 00:14:47,Enc#3 000,Reading Error
18/12/2010 00:14:41,Enc#3 000,Reading Error
18/12/2010 00:14:35,Enc#3 000,Reading Error
18/12/2010 00:14:27,Enc#3 000,Reading Error
18/12/2010 00:14:21,Enc#3 000,Reading Error
18/12/2010 00:14:14,Enc#3 000,Reading Error
18/12/2010 00:14:07,Enc#3 000,Reading Error
18/12/2010 00:13:59,Enc#3 000,Reading Error
18/12/2010 00:13:53,Enc#3 000,Reading Error
18/12/2010 00:13:46,Enc#3 000,Reading Error
18/12/2010 00:13:40,Enc#3 000,Reading Error
18/12/2010 00:13:34,Enc#3 000,Reading Error
18/12/2010 00:13:28,Enc#3 000,Reading Error
18/12/2010 00:13:22,Enc#3 000,Reading Error
18/12/2010 00:13:16,Enc#3 000,Reading Error
18/12/2010 00:13:09,Enc#3 000,Reading Error
18/12/2010 00:13:03,Enc#3 000,Reading Error
18/12/2010 00:12:57,Enc#3 000,Reading Error
18/12/2010 00:12:51,Enc#3 000,Reading Error
18/12/2010 00:12:45,Enc#3 000,Reading Error
18/12/2010 00:12:39,Enc#3 000,Reading Error
18/12/2010 00:12:33,Enc#3 000,Reading Error
18/12/2010 00:12:27,Enc#3 000,Reading Error
18/12/2010 00:12:20,Enc#3 000,Reading Error
18/12/2010 00:12:14,Enc#3 000,Reading Error
18/12/2010 00:12:08,Enc#3 000,Reading Error
18/12/2010 00:12:02,Enc#3 000,Reading Error
18/12/2010 00:11:56,Enc#3 000,Reading Error
18/12/2010 00:11:50,Enc#3 000,Reading Error
18/12/2010 00:11:44,Enc#3 000,Reading Error
18/12/2010 00:11:37,Enc#3 000,Reading Error
18/12/2010 00:11:31,Enc#3 000,Reading Error
18/12/2010 00:11:25,Enc#3 000,Reading Error
18/12/2010 00:11:19,Enc#3 000,Reading Error
18/12/2010 00:11:13,Enc#3 000,Reading Error
18/12/2010 00:11:07,Enc#3 000,Reading Error
18/12/2010 00:11:01,Enc#3 000,Reading Error
18/12/2010 00:10:54,Enc#3 000,Reading Error
18/12/2010 00:10:48,Enc#3 000,Reading Error
18/12/2010 00:10:42,Enc#3 000,Reading Error
18/12/2010 00:10:35,Enc#3 000,Reading Error
18/12/2010 00:10:28,Enc#3 000,Reading Error
18/12/2010 00:10:22,Enc#3 000,Reading Error
18/12/2010 00:10:15,Enc#3 000,Reading Error
18/12/2010 00:10:09,Enc#3 000,Reading Error
17/12/2010 23:10:32,Enc#3 000,Reading Error
17/12/2010 23:10:26,Enc#3 000,Reading Error
17/12/2010 23:10:20,Enc#3 000,Reading Error
17/12/2010 23:10:10,Enc#3 000,Reading Error
17/12/2010 23:10:03,Enc#3 000,Reading Error
17/12/2010 23:09:57,Enc#3 000,Reading Error
17/12/2010 23:09:50,Enc#3 000,Reading Error
17/12/2010 23:09:44,Enc#3 000,Reading Error
17/12/2010 23:09:37,Enc#3 000,Reading Error
17/12/2010 23:09:31,Enc#3 000,Reading Error
17/12/2010 23:09:25,Enc#3 000,Reading Error
17/12/2010 23:09:19,Enc#3 000,Reading Error
17/12/2010 23:09:13,Enc#3 000,Reading Error
17/12/2010 23:09:06,Enc#3 000,Reading Error
17/12/2010 23:09:00,Enc#3 000,Reading Error
17/12/2010 23:08:54,Enc#3 000,Reading Error
17/12/2010 23:08:49,Enc#3 000,Time Out Error
17/12/2010 23:08:36,Enc#3 000,Reading Error
17/12/2010 23:08:32,Enc#3 000,Reading Error
17/12/2010 23:08:29,Enc#3 000,Reading Error
17/12/2010 23:08:26,Enc#3 000,Reading Error
17/12/2010 23:08:18,Enc#3 000,Time Out Error
17/12/2010 23:08:09,Enc#3 000,Reading Error
17/12/2010 23:08:04,Enc#3 000,Time Out Error
17/12/2010 23:07:55,Enc#3 000,Reading Error
17/12/2010 23:07:49,Enc#3 000,Time Out Error
17/12/2010 23:07:37,Enc#3 000,Time Out Error
17/12/2010 23:07:26,Enc#3 000,Time Out Error
17/12/2010 22:27:50,Enc#3 001,Device Failed
17/12/2010 22:27:50,Raid Set OS,RaidSet Degraded
17/12/2010 22:27:48,RAID1,Volume Degraded
17/12/2010 22:27:46,Enc#3 001,Reading Error
17/12/2010 22:27:37,Enc#3 001,Reading Error
17/12/2010 22:27:31,Enc#3 001,Time Out Error
17/12/2010 22:27:08,Enc#3 001,Reading Error
17/12/2010 22:26:45,Enc#3 001,Reading Error
17/12/2010 22:26:39,Enc#3 001,Reading Error
17/12/2010 22:26:37,Enc#3 001,Time Out Error
17/12/2010 21:50:05,Proxy Or Inband,HTTP Log In
17/12/2010 21:49:08,Proxy Or Inband,HTTP Log In
17/12/2010 19:36:44,Enc#3 001,Reading Error
17/12/2010 19:08:39,Enc#3 001,Reading Error
17/12/2010 19:08:21,Enc#3 001,Reading Error
17/12/2010 19:06:56,H/W Monitor,Raid Powered On
17/12/2010 19:04:35,H/W Monitor,Raid Powered On
17/12/2010 19:03:16,H/W Monitor,Raid Powered On
