Time ,Device ,Event Type ,Elapse Time ,Errors,Comment
24/05/2011 20:40:55,H/W Monitor ,Raid Powered On 
23/05/2011 22:41:00,H/W Monitor ,Raid Powered On 
23/05/2011 17:41:22,H/W Monitor ,Raid Powered On 
23/05/2011 13:50:49,H/W Monitor ,Raid Powered On 
20/05/2011 21:21:27,H/W Monitor ,Raid Powered On 
20/05/2011 21:14:54,H/W Monitor ,Raid Powered On 
20/05/2011 21:13:19,H/W Monitor ,Raid Powered On 
,,,,,Firmware was flashed by Rick Warner from Microway
05/04/2011 19:03:02,Proxy Or Inband ,HTTP Log In ,,,Time is wrong. Date is ok. Since when??
05/04/2011 18:54:38,H/W Monitor ,Raid Powered On 
05/04/2011 18:53:10,H/W Monitor ,Raid Powered On 
05/04/2011 18:37:12,H/W Monitor ,Raid Powered On 
05/04/2011 15:08:31,Proxy Or Inband ,HTTP Log In 
05/04/2011 13:45:58,Proxy Or Inband ,HTTP Log In 
05/04/2011 13:33:16,H/W Monitor ,Raid Powered On 
05/04/2011 13:30:45,RS232 Terminal ,VT100 Log In 
05/04/2011 11:25:32,R60Vol2-1 ,Complete Rebuild ,12:38:39
05/04/2011 02:42:58,Enc#3 003 ,Reading Error 
04/04/2011 22:48:31,RS232 Terminal ,VT100 Log In 
04/04/2011 22:46:53,R60Vol2-1 ,Start Rebuilding 
04/04/2011 22:46:53,R60Vol2-1 ,Abort Rebuilding ,00:00:01
04/04/2011 22:46:53,Raid Set A ,Rebuild RaidSet 
04/04/2011 22:46:53,Enc#3 009 ,Device Inserted 
04/04/2011 22:46:51,R60Vol2-1 ,Start Rebuilding 
04/04/2011 22:46:49,Raid Set A ,Rebuild RaidSet 
04/04/2011 22:46:49,Enc#3 018 ,Device Inserted 
04/04/2011 22:32:56,RS232 Terminal ,VT100 Log In 
04/04/2011 21:16:29,Enc#3 000 ,Device Removed 
04/04/2011 21:16:28,Raid Set A ,RaidSet Degraded 
04/04/2011 21:16:26,R60Vol2-1 ,Abort Rebuilding ,00:00:22
04/04/2011 21:16:26,R60Vol2-1 ,Volume Degraded 
04/04/2011 21:16:20,Enc#3 000 ,Time Out Error 
04/04/2011 21:16:04,R60Vol2-1 ,Start Rebuilding 
04/04/2011 21:16:02,Raid Set A ,Rebuild RaidSet 
04/04/2011 21:15:59,Enc#3 000 ,Device Inserted 
04/04/2011 21:15:42,Enc#3 000 ,Device Removed 
04/04/2011 21:15:42,Raid Set A ,RaidSet Degraded 
04/04/2011 21:15:40,R60Vol2-1 ,Abort Rebuilding ,00:06:41
04/04/2011 21:15:40,R60Vol2-1 ,Volume Degraded 
04/04/2011 21:15:34,Enc#3 000 ,Time Out Error 
04/04/2011 21:13:58,Enc#3 000 ,Time Out Error 
04/04/2011 21:08:58,R60Vol2-1 ,Start Rebuilding 
04/04/2011 21:08:56,Raid Set A ,Rebuild RaidSet 
04/04/2011 21:08:54,Enc#3 000 ,Device Inserted 
04/04/2011 21:08:04,Enc#3 000 ,Device Removed 
04/04/2011 21:08:04,Raid Set A ,RaidSet Degraded 
04/04/2011 21:08:02,R60Vol2-1 ,Abort Rebuilding ,00:07:01
04/04/2011 21:08:02,R60Vol2-1 ,Volume Degraded 
04/04/2011 21:07:56,Enc#3 000 ,Time Out Error 
04/04/2011 21:07:37,Enc#3 000 ,Time Out Error 
04/04/2011 21:01:00,R60Vol2-1 ,Start Rebuilding 
04/04/2011 21:00:58,Raid Set A ,Rebuild RaidSet 
04/04/2011 21:00:56,Enc#3 000 ,Device Inserted 
04/04/2011 21:00:44,Enc#3 000 ,Device Removed 
04/04/2011 21:00:44,Raid Set A ,RaidSet Degraded 
04/04/2011 21:00:42,R60Vol2-1 ,Abort Rebuilding ,00:01:55
04/04/2011 21:00:42,R60Vol2-1 ,Volume Degraded 
04/04/2011 21:00:26,Enc#3 000 ,Time Out Error 
04/04/2011 20:58:49,RS232 Terminal ,VT100 Log In 
04/04/2011 20:58:47,R60Vol2-1 ,Start Rebuilding 
04/04/2011 20:58:45,Raid Set A ,Rebuild RaidSet 
04/04/2011 20:58:42,Enc#3 000 ,Device Inserted 
04/04/2011 20:58:31,Enc#3 000 ,Device Removed 
04/04/2011 20:58:31,Raid Set A ,RaidSet Degraded 
04/04/2011 20:58:29,R60Vol2-1 ,Abort Rebuilding ,00:01:41
04/04/2011 20:58:29,R60Vol2-1 ,Volume Degraded 
04/04/2011 20:58:12,Enc#3 000 ,Time Out Error 
04/04/2011 20:56:47,R60Vol2-1 ,Start Rebuilding 
04/04/2011 20:56:45,Raid Set A ,Rebuild RaidSet 
04/04/2011 20:56:36,Enc#3 000 ,Time Out Error 
04/04/2011 20:56:22,Enc#3 000 ,Device Inserted 
04/04/2011 20:53:40,Enc#3 000 ,Device Removed 
04/04/2011 20:53:36,Raid Set A ,RaidSet Degraded 
04/04/2011 20:53:34,R60Vol2-1 ,Abort Rebuilding ,07:20:21
04/04/2011 20:53:34,R60Vol2-1 ,Volume Degraded 
04/04/2011 20:52:54,RS232 Terminal ,VT100 Log In 
04/04/2011 16:30:14,RS232 Terminal ,VT100 Log In 
04/04/2011 13:35:17,Enc#3 000 ,Time Out Error 
04/04/2011 13:33:13,R60Vol2-1 ,Start Rebuilding 
04/04/2011 13:33:11,Raid Set A ,Rebuild RaidSet 
04/04/2011 13:33:08,Enc#3 000 ,Device Inserted 
04/04/2011 13:32:50,Enc#3 000 ,Device Removed 
04/04/2011 13:32:50,Raid Set A ,RaidSet Degraded 
04/04/2011 13:32:48,R60Vol2-1 ,Abort Rebuilding ,00:06:59
04/04/2011 13:32:48,R60Vol2-1 ,Volume Degraded 
04/04/2011 13:32:42,Enc#3 000 ,Time Out Error 
04/04/2011 13:27:04,Enc#3 000 ,Time Out Error 
04/04/2011 13:25:49,R60Vol2-1 ,Start Rebuilding 
04/04/2011 13:25:47,Raid Set A ,Rebuild RaidSet 
04/04/2011 13:25:44,Enc#3 000 ,Device Inserted 
04/04/2011 13:25:28,Enc#3 000 ,Device Removed 
04/04/2011 13:25:28,Raid Set A ,RaidSet Degraded 
04/04/2011 13:25:26,R60Vol2-1 ,Abort Rebuilding ,00:08:51
04/04/2011 13:25:26,R60Vol2-1 ,Volume Degraded 
04/04/2011 13:25:20,Enc#3 000 ,Time Out Error 
04/04/2011 13:16:34,R60Vol2-1 ,Start Rebuilding 
04/04/2011 13:16:32,Raid Set A ,Rebuild RaidSet 
04/04/2011 13:16:29,Enc#3 000 ,Device Inserted 
04/04/2011 13:10:38,Enc#3 000 ,Device Removed 
04/04/2011 13:10:38,Raid Set A ,RaidSet Degraded 
04/04/2011 13:10:36,R60Vol2-1 ,Volume Degraded 
04/04/2011 13:10:30,Enc#3 000 ,Time Out Error 
04/04/2011 13:09:46,Raid Set OS ,RaidSet Degraded 
04/04/2011 13:09:44,RAID1 ,Volume Degraded 
04/04/2011 13:04:57,RS232 Terminal ,VT100 Log In 
04/04/2011 13:03:33,Incomplete RAID ,Discovered 
04/04/2011 13:03:31,H/W Monitor ,Raid Powered On 
01/04/2011 20:47:32,RAID60 ,Abort Rebuilding ,01:06:40
01/04/2011 20:47:32,RAID60 ,Volume Degraded 
01/04/2011 20:47:26,Enc#3 000 ,Time Out Error 
01/04/2011 19:40:52,RAID60 ,Start Rebuilding 
01/04/2011 19:40:47,Enc#3 000 ,Device Inserted 
01/04/2011 19:39:42,Incomplete RAID ,Discovered 
01/04/2011 19:39:41,H/W Monitor ,Raid Powered On 
01/04/2011 19:23:24,RAID60 ,Stop Rebuilding ,00:06:18
01/04/2011 19:17:54,Enc#3 018 ,Device Removed 
01/04/2011 19:17:40,Enc#3 009 ,Device Removed 
01/04/2011 19:17:05,RAID60 ,Start Rebuilding 
01/04/2011 19:17:03,Raid Set A ,Rebuild RaidSet 
01/04/2011 19:17:00,Enc#3 000 ,Device Inserted 
01/04/2011 19:16:26,RS232 Terminal ,VT100 Log In 
01/04/2011 19:16:04,Incomplete RAID ,Discovered 
01/04/2011 19:16:03,H/W Monitor ,Raid Powered On 
01/04/2011 18:14:10,Enc#3 000 ,Device Removed 
01/04/2011 18:14:09,Raid Set A ,RaidSet Degraded 
01/04/2011 18:14:07,R60Vol2-1 ,Volume Degraded 
01/04/2011 18:14:01,Enc#3 000 ,Time Out Error 
01/04/2011 18:05:50,RS232 Terminal ,VT100 Log In 
01/04/2011 13:09:01,RS232 Terminal ,VT100 Log In 
01/04/2011 06:18:00,R60Vol2-1 ,Complete Rebuild ,15:25:34
01/04/2011 00:07:56,RS232 Terminal ,VT100 Log In 
31/03/2011 14:52:25,R60Vol2-1 ,Start Rebuilding 
31/03/2011 14:52:23,Raid Set A ,Rebuild RaidSet 
31/03/2011 14:52:20,Enc#3 000 ,Device Inserted 
31/03/2011 14:51:59,Enc#3 000 ,Device Removed 
31/03/2011 14:51:59,Raid Set A ,RaidSet Degraded 
31/03/2011 14:51:57,R60Vol2-1 ,Abort Rebuilding ,00:12:05
31/03/2011 14:51:57,R60Vol2-1 ,Volume Degraded 
31/03/2011 14:51:51,Enc#3 000 ,Time Out Error 
31/03/2011 14:41:36,RS232 Terminal ,VT100 Log In 
31/03/2011 14:39:51,R60Vol2-1 ,Start Rebuilding 
31/03/2011 14:39:42,Incomplete RAID ,Discovered 
31/03/2011 14:39:41,H/W Monitor ,Raid Powered On 
31/03/2011 14:37:38,Incomplete RAID ,Discovered 
31/03/2011 14:37:36,H/W Monitor ,Raid Powered On 
31/03/2011 14:33:31,Incomplete RAID ,Discovered 
31/03/2011 14:33:29,H/W Monitor ,Raid Powered On 
31/03/2011 14:31:33,Raid Set A ,Rebuild RaidSet 
31/03/2011 14:31:31,Enc#3 000 ,Device Inserted 
31/03/2011 14:30:42,Raid Set A ,Rebuild RaidSet 
31/03/2011 14:30:42,R60Vol2-1 ,Failed Volume Revived 
31/03/2011 14:30:42,Incomplete RAID ,Discovered 
31/03/2011 14:30:41,H/W Monitor ,Raid Powered On 
31/03/2011 03:27:00,Enc#3 009 ,Device Failed 
31/03/2011 03:26:57,Enc#3 022 ,Time Out Error 
31/03/2011 03:26:47,Enc#3 022 ,Time Out Error 
31/03/2011 03:26:36,Enc#3 011 ,Time Out Error 
31/03/2011 03:26:26,Enc#3 011 ,Time Out Error 
31/03/2011 03:26:16,Enc#3 011 ,Time Out Error 
31/03/2011 03:26:05,Enc#3 011 ,Time Out Error 
31/03/2011 03:25:55,Enc#3 011 ,Time Out Error 
31/03/2011 03:25:44,Enc#3 012 ,Time Out Error 
31/03/2011 03:25:39,Raid Set A ,RaidSet Degraded 
31/03/2011 03:25:37,R60Vol2-1 ,Volume Failed 
31/03/2011 03:25:34,Enc#3 009 ,Time Out Error 
31/03/2011 03:25:23,Enc#3 009 ,Time Out Error 
31/03/2011 03:25:13,Enc#3 010 ,Time Out Error 
31/03/2011 03:25:02,Enc#3 010 ,Time Out Error 
31/03/2011 03:24:52,Enc#3 010 ,Time Out Error 
31/03/2011 03:24:42,Enc#3 010 ,Time Out Error 
31/03/2011 03:24:34,Enc#4 015 ,Device Failed 
31/03/2011 03:24:31,Enc#3 007 ,Time Out Error 
31/03/2011 03:24:21,Enc#3 007 ,Time Out Error 
31/03/2011 03:24:16,Raid Set B ,RaidSet Degraded 
31/03/2011 03:24:14,R60Vol2-2 ,Volume Degraded 
31/03/2011 03:24:10,Enc#4 015 ,Time Out Error 
31/03/2011 03:24:00,Enc#4 015 ,Time Out Error 
31/03/2011 03:23:50,Enc#4 018 ,Time Out Error 
